"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACX60_RS15950",939.760842316532,-5.80302344648802,0.198424016909596,1.18475832185088e-187,4.19404445935213e-184
"ACX60_RS03085",1065.99005804743,5.00577704708752,0.201852279353165,9.51764299548034e-137,1.68462281020002e-133
"ACX60_RS03770",1394.30594766101,-2.40972385654345,0.113151844146475,4.78137322393308e-102,5.64202040424104e-99
"ACX60_RS11155",771.187600275244,-2.25814912217024,0.118390820097546,1.80056043394817e-82,1.59349598404413e-79
"ACX60_RS01845",7648.07545351032,2.41801293240283,0.132211996329595,6.11336698983628e-76,4.32826382880409e-73
"ACX60_RS17920",1334.26325279008,6.52834785382115,0.386045950494291,2.00049113642336e-65,1.18028977048978e-62
"ACX60_RS05905",1359.5260726988,1.97045425329033,0.118959184233378,7.01308281678444e-63,3.54661616734527e-60
"ACX60_RS06785",934.524640525798,4.63719127220374,0.301410034786054,1.0224076696372e-54,4.52415393814459e-52
"ACX60_RS05185",2235.78349008165,1.36581107539918,0.089936736836428,3.59514373905982e-53,1.41408987069686e-50
"ACX60_RS13305",2856.34245741514,-1.43886683818258,0.0995209143548708,1.51592938875102e-48,5.36639003617859e-46
"ACX60_RS01825",4092.78622776075,-1.04299623377964,0.0737238960680751,1.86973333047034e-46,6.0171418089682e-44
"ACX60_RS03065",917.083305314723,5.15029343331095,0.371346744214292,6.0335970526019e-45,1.77991113051756e-42
"ACX60_RS07725",30105.0591398021,-1.48596834004442,0.109177596944832,2.40842341276534e-43,6.55832221629948e-41
"ACX60_RS00725",1530.725890504,1.35921413158564,0.10483951058501,1.62223232667981e-39,4.10193031174752e-37
"ACX60_RS05300",2388.66933582499,1.63629926215409,0.12888042446675,4.30770112931101e-38,1.0166174665174e-35
"ACX60_RS17335",58496.1876787739,-1.054550321018,0.083272250622209,9.04220353250191e-38,2.00058753156605e-35
"ACX60_RS01815",58815.629164047,-0.865167634277651,0.0696356781322885,1.0343627356182e-36,2.15390828475789e-34
