"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACX60_RS05905",1359.5260726988,2.69820633424987,0.11804975114648,5.89477743391526e-117,2.00540328301797e-113
"ACX60_RS03085",1065.99005804743,4.23170019461913,0.202664882736687,6.46655038862019e-98,1.09996022110429e-94
"ACX60_RS01845",7648.07545351032,2.60620779815243,0.132138126976392,7.25458357102038e-88,8.22669776953712e-85
"ACX60_RS01220",4320.40561656065,2.72179688033764,0.157885465409905,7.73429175088921e-68,6.57801513413128e-65
"ACX60_RS18040",797.028306688499,2.83353898283412,0.16772470076897,2.22754272274056e-65,1.51562006855268e-62
"ACX60_RS17920",1334.26325279008,6.48306342432385,0.385829428224151,1.1836320062053e-64,6.71119347518404e-62
"ACX60_RS06785",934.524640525798,4.35939383132124,0.301835200549364,1.36360236953484e-48,6.62710751593931e-46
"ACX60_RS04875",11389.0538317798,1.39731471007601,0.0971038050921429,7.93657695265514e-48,3.3750293491166e-45
"ACX60_RS03065",917.083305314723,5.22002844181396,0.371297421239147,4.26522691113673e-46,1.61225577240968e-43
"ACX60_RS01890",408.285369586825,-1.86128483481896,0.139938588425572,1.37703084336049e-41,4.6846589291124e-39
"ACX60_RS13240",12348.2670243888,1.26643533584052,0.0973524627632458,7.83758961026656e-40,2.42395271401153e-37
"ACX60_RS15310",1119.7344227464,1.35297095136488,0.108931895235728,1.42107143273233e-36,4.02873751179616e-34
"ACX60_RS01025",920.447123444458,-1.5286879755381,0.123264819444925,1.5936306973058e-36,4.17040894787257e-34
"ACX60_RS14330",1374.59132682251,-1.03997638730098,0.0839637647770052,2.45780054571442e-36,5.97245532608604e-34
"ACX60_RS05300",2388.66933582499,1.57262770072758,0.129062327833113,2.3250733764296e-35,5.27326641774233e-33
"ACX60_RS07735",2537.66474750822,-1.06057008885668,0.0881345610815246,2.03794033384548e-34,4.33317063483896e-32
"ACX60_RS14335",1979.10613441259,-1.02206673516407,0.0864479347679585,2.41570447529851e-33,4.83425095586208e-31
"ACX60_RS00865",33394.6991703588,1.0998896831417,0.0943023537205386,8.01331150925203e-33,1.51451587524863e-30
"ACX60_RS16895",5881.18842484037,-9.90211025750042,0.851334089304507,1.84875447655827e-32,3.31024354171118e-30
"ACX60_RS05400",1042.79241695138,1.34047331433784,0.116046950370513,4.96313693179302e-32,8.44229592097993e-30
"ACX60_RS03870",2130.76094942254,1.35017586074849,0.120023660661272,1.82995365827658e-30,2.96452492640805e-28
"ACX60_RS09555",1034.07718387137,0.993023182503579,0.095208291611341,1.47022964003389e-26,2.27350965245241e-24
"ACX60_RS13710",530.350585942399,1.77752267125952,0.172490620771589,3.96629810625145e-26,5.86667224237715e-24
"ACX60_RS17880",603.454998201794,-1.14635705024464,0.117369756227388,1.13244236221887e-23,1.60523704844524e-21
"ACX60_RS01860",419.860159111726,1.27999827211664,0.132122671106156,2.30096903340766e-23,3.13115866066114e-21
"ACX60_RS03045",1056.14349010746,1.08421214579936,0.11253990305818,4.40197996521306e-23,5.75982147755954e-21
"ACX60_RS15425",2647.53800489903,1.30952628248887,0.139260671084645,3.54689450053712e-22,4.46908707067677e-20
"ACX60_RS16900",2834.353048736,-0.765830750579967,0.0814455664591577,3.77512033786158e-22,4.58677121050182e-20
"ACX60_RS11920",3553.24583651944,1.10929715832769,0.11961181219831,1.32108362661501e-21,1.54976775784285e-19
"ACX60_RS01790",520.509312033337,1.1658186267496,0.129184296326733,1.30125964927788e-20,1.47562844228111e-18
"ACX60_RS04250",2416.53349409744,0.817738848904229,0.0909981619716803,2.90550741687518e-20,3.18856007490624e-18
"ACX60_RS06790",1215.60705399668,2.57319646542977,0.289387946671251,3.40503938603864e-20,3.61998249728233e-18
"ACX60_RS11200",1963.03094205513,1.10279639107838,0.123928058510099,4.27381082946846e-20,4.40591043692475e-18
"ACX60_RS02355",2997.17436753905,0.915773147888982,0.102928954818783,5.35590347596589e-20,5.35905400742234e-18
"ACX60_RS01740",651.486637337661,1.07192313452651,0.120806640997524,5.58383589123451e-20,5.42748848627994e-18
"ACX60_RS12970",449.564229630007,-1.14101493508912,0.13174831107094,3.43716843023317e-19,3.24812416657034e-17
"ACX60_RS13960",23333.1469499452,1.10112453652942,0.127727212447487,5.04380545400587e-19,4.63757463635891e-17
"ACX60_RS06260",545.924974145444,1.43823366741743,0.167530187603962,5.39319715922657e-19,4.82833071991811e-17
"ACX60_RS07285",2942.28932346636,0.621341957211154,0.0728288592215671,2.21319944706397e-18,1.93059090228504e-16
"ACX60_RS15075",1007.79193107927,-0.81642897408867,0.096351960710215,2.42235869273474e-18,2.0602160681709e-16
"ACX60_RS13125",1661.00211688614,0.868649136595383,0.103485014420775,4.42965194936029e-18,3.67553071505456e-16
"ACX60_RS17630",254.847048962751,-1.53352208905081,0.183708498516204,4.57094017727291e-18,3.70246154359105e-16
"ACX60_RS17290",932.660098847846,0.990413732736607,0.118965354434867,7.0150870830392e-18,5.5500758736045e-16
"ACX60_RS14620",861.768338365909,-0.848564347486204,0.102816126073056,1.47375234214639e-17,1.13947851545046e-15
"ACX60_RS18035",108.588838595186,2.0879568282078,0.255351721164901,1.59988219491982e-17,1.20951093935938e-15
"ACX60_RS16905",975.479663931082,-0.914459897665858,0.111407600349498,1.9412012188503e-17,1.43564490141929e-15
"ACX60_RS18100",3642.07025504267,0.746243333406113,0.093127472184232,1.26750007039865e-16,9.17454306275786e-15
"ACX60_RS01020",283.437542150565,-1.15313598799824,0.146223461221325,2.19742229401113e-16,1.55742305088039e-14
"ACX60_RS07845",2223.89494376176,0.859402988453738,0.108675990166979,2.48743153302216e-16,1.7269881786411e-14
"ACX60_RS17295",2157.62056441199,-0.782535478707617,0.100035889047794,5.12784028421438e-16,3.48898252937946e-14
"ACX60_RS02385",4162.04410620873,0.658968286841691,0.0847697023184158,7.99933774449799e-16,5.33602882485925e-14
"ACX60_RS14170",7199.84563124053,0.530719585251246,0.0684430658099092,1.67920724513329e-15,1.09858904768143e-13
"ACX60_RS15435",3429.1815330146,1.11255293103747,0.145835388900304,1.74604740100943e-15,1.12076476570455e-13
"ACX60_RS11205",180.417536689599,1.41448832092137,0.187136570403843,2.65109604289198e-15,1.67019050702195e-13
"ACX60_RS14265",829.970091060583,1.25889114670461,0.16715765626338,3.42803580622279e-15,2.12039596595817e-13
"ACX60_RS06580",1192.3218766744,0.907687461466876,0.120059342325701,3.58573361870293e-15,2.17833317336203e-13
"ACX60_RS04575",3109.56594407197,0.634407630258426,0.0825668660632585,3.76655715569394e-15,2.24803990239838e-13
"ACX60_RS17875",567.08614240469,-0.943746062881778,0.127541055577198,1.1710343863828e-14,6.86872238357637e-13
"ACX60_RS12250",710.896980444725,0.836346777209589,0.113043659967918,1.33878793397526e-14,7.71958737522685e-13
"ACX60_RS13745",48493.4023048168,0.622481020238689,0.0838278119194036,1.70497075181076e-14,9.58762855281378e-13
"ACX60_RS17815",10047.8436041124,0.627383933031116,0.0842976341996579,1.719122109705e-14,9.58762855281378e-13
"ACX60_RS12315",3170.35002675681,0.83268062666471,0.1133386719254,2.09053613000677e-14,1.14709740552952e-12
"ACX60_RS10230",5815.89321938674,0.567689794859521,0.0771836049147495,3.2854786770825e-14,1.77415848562455e-12
"ACX60_RS09660",1212.87724079518,0.707465330490669,0.0972433748422574,4.18128761510153e-14,2.22261569790241e-12
"ACX60_RS16100",2690.98332524059,0.625527951514611,0.0858607669877351,4.6264704659829e-14,2.42142346542674e-12
"ACX60_RS07850",1892.84994843402,0.970617729670905,0.135936565650664,7.60644513482217e-14,3.9207767194947e-12
"ACX60_RS01855",537.351529070967,1.00617263257402,0.141617109859012,9.99117200044241e-14,5.07312942470225e-12
