Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS00005,11588,16389,17432,17861,15489,19557,17047,17020,21105
gene-ACX60_RS00010,8486,11722,14363,12488,10326,13533,11664,11746,15285
gene-ACX60_RS00015,1659,2361,2740,2509,2108,2781,2296,2203,2721
gene-ACX60_RS00020,13215,19809,23369,17978,16945,20489,16195,17507,20404
gene-ACX60_RS00025,1421,2377,2449,2327,1995,2569,1942,2037,2559
gene-ACX60_RS00030,486,761,720,591,534,693,580,665,734
gene-ACX60_RS00035,2016,2916,2661,2765,2601,2819,2580,2700,2832
gene-ACX60_RS00040,36,75,87,54,44,68,44,32,55
gene-ACX60_RS00045,602,940,804,500,477,570,690,650,881
gene-ACX60_RS00050,80,118,137,60,66,68,64,48,60
gene-ACX60_RS00055,357,635,861,366,318,530,389,367,520
gene-ACX60_RS00060,176,348,349,288,265,334,322,391,458
gene-ACX60_RS00065,2201,3123,2950,2747,2715,2600,2517,2496,2969
gene-ACX60_RS00070,2974,4492,4586,4199,4272,4750,4419,4692,4681
gene-ACX60_RS00075,0,0,0,0,0,0,2,0,0
gene-ACX60_RS00080,0,0,0,0,0,0,0,0,0
gene-ACX60_RS00085,0,0,0,0,0,0,0,0,0
gene-ACX60_RS00090,0,0,0,0,0,0,0,0,0
gene-ACX60_RS00095,0,2,0,0,0,0,0,0,2
gene-ACX60_RS00100,342,506,607,436,395,562,500,501,665
gene-ACX60_RS00105,297,527,671,681,558,857,668,662,704
gene-ACX60_RS00110,1492,2391,2429,1297,1345,1532,1103,1277,1642
gene-ACX60_RS00115,6,8,13,2,8,8,14,7,4
gene-ACX60_RS00120,3542,4605,4806,4025,3783,4272,3955,4629,4898
gene-ACX60_RS00125,2294,3344,3454,2753,2684,3122,2850,3170,3310
gene-ACX60_RS00130,5018,7509,6907,5511,6719,5584,4662,5697,6414
gene-ACX60_RS00135,1140,1636,1858,1173,1082,1381,1259,1155,1388
gene-ACX60_RS00140,185,283,290,169,216,219,224,197,285
gene-ACX60_RS00145,194,319,323,214,273,272,308,236,325
gene-ACX60_RS00150,1064,1607,1307,1209,1366,1516,1020,1105,1186
gene-ACX60_RS00155,6927,10876,10478,7315,8895,8115,6995,8297,9018
gene-ACX60_RS00160,245,303,421,230,268,308,261,258,271
gene-ACX60_RS00165,334,512,442,295,227,312,428,371,511
gene-ACX60_RS00170,973,1265,1319,825,908,914,978,1074,1224
gene-ACX60_RS00175,813,1250,1203,927,907,1128,1091,1187,1213
gene-ACX60_RS00180,6156,10443,8706,6306,6222,6570,4413,4384,5553
gene-ACX60_RS00185,67,84,74,53,62,65,50,44,41
