# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/work/geisingerlab/Mark/REF_GENOMES/17978-mff/NZ_CP012004.gtf" "-o" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/featurecounts/counts.txt" "-p" "-t" "transcript" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam
gene-ACX60_RS00005	NZ_CP012004.1	90	1487	+	1398	11588	16389	17432	17861	15489	19557	17047	17020	21105
gene-ACX60_RS00010	NZ_CP012004.1	1585	2733	+	1149	8486	11722	14363	12488	10326	13533	11664	11746	15285
gene-ACX60_RS00015	NZ_CP012004.1	2748	3830	+	1083	1659	2361	2740	2509	2108	2781	2296	2203	2721
gene-ACX60_RS00020	NZ_CP012004.1	3883	6351	+	2469	13215	19809	23369	17978	16945	20489	16195	17507	20404
gene-ACX60_RS00025	NZ_CP012004.1	6389	6781	+	393	1421	2377	2449	2327	1995	2569	1942	2037	2559
gene-ACX60_RS00030	NZ_CP012004.1	6867	7424	-	558	486	761	720	591	534	693	580	665	734
gene-ACX60_RS00035	NZ_CP012004.1	7675	9606	-	1932	2016	2916	2661	2765	2601	2819	2580	2700	2832
gene-ACX60_RS00040	NZ_CP012004.1	9863	10867	+	1005	36	75	87	54	44	68	44	32	55
gene-ACX60_RS00045	NZ_CP012004.1	11123	12130	+	1008	602	940	804	500	477	570	690	650	881
gene-ACX60_RS00050	NZ_CP012004.1	12473	13477	+	1005	80	118	137	60	66	68	64	48	60
gene-ACX60_RS00055	NZ_CP012004.1	13602	13937	+	336	357	635	861	366	318	530	389	367	520
gene-ACX60_RS00060	NZ_CP012004.1	13993	14838	-	846	176	348	349	288	265	334	322	391	458
gene-ACX60_RS00065	NZ_CP012004.1	14966	16093	-	1128	2201	3123	2950	2747	2715	2600	2517	2496	2969
gene-ACX60_RS00070	NZ_CP012004.1	16155	17387	+	1233	2974	4492	4586	4199	4272	4750	4419	4692	4681
gene-ACX60_RS00075	NZ_CP012004.1	18300	19836	+	1537	0	0	0	0	0	0	2	0	0
gene-ACX60_RS00080	NZ_CP012004.1	19896	19972	+	77	0	0	0	0	0	0	0	0	0
gene-ACX60_RS00085	NZ_CP012004.1	20028	20103	+	76	0	0	0	0	0	0	0	0	0
gene-ACX60_RS00090	NZ_CP012004.1	20444	23336	+	2893	0	0	0	0	0	0	0	0	0
gene-ACX60_RS00095	NZ_CP012004.1	23522	23636	+	115	0	2	0	0	0	0	0	0	2
gene-ACX60_RS00100	NZ_CP012004.1	23775	24374	+	600	342	506	607	436	395	562	500	501	665
gene-ACX60_RS00105	NZ_CP012004.1	24432	25124	-	693	297	527	671	681	558	857	668	662	704
gene-ACX60_RS00110	NZ_CP012004.1	25753	27231	+	1479	1492	2391	2429	1297	1345	1532	1103	1277	1642
gene-ACX60_RS00115	NZ_CP012004.1	27244	27387	+	144	6	8	13	2	8	8	14	7	4
gene-ACX60_RS00120	NZ_CP012004.1	27431	28735	-	1305	3542	4605	4806	4025	3783	4272	3955	4629	4898
gene-ACX60_RS00125	NZ_CP012004.1	28732	29694	-	963	2294	3344	3454	2753	2684	3122	2850	3170	3310
gene-ACX60_RS00130	NZ_CP012004.1	30043	31872	+	1830	5018	7509	6907	5511	6719	5584	4662	5697	6414
